regex	replace_char
シ竜	滝
シ弱	溺
シ魚	漁
シ票	漂
シ責	漬
シ朝	潮
シ登	澄
シ替	潜
シ貴	潰
シ農	濃
シ零	澪
九日	旭
日月	明
日王	旺
日召	昭
日央	映
日寺	時
日西	晒
日青	晴
日免	晩
日音	暗
日軍	暉
日署	曙
糸己	紀
糸[エ工]	紅
糸氏	紙
糸内	納
糸文	紋
糸分	紛
糸方	紡
糸[友広]	紘
糸少	紗
糸田	細
糸冬	終
糸召	紹
糸甘	紺
糸申	紳
糸玄	絃
糸由	紬
糸会	絵
糸合	給
糸吉	結
糸色	絶
糸充	統
糸各	絡
糸交	紋
糸売	続
糸東	練
糸岡	綱
糸者	緒
糸定	綻
糸泉	線
糸帝	締
糸亀	縄
糸従	縦
糸逢	縫
糸高	縞
糸責	績
糸宿	縮
糸善	繕
月月	朋
月券	勝
王久	玖
王元	玩
王可	珂
王令	玲
王加	珈
王白	珀
王朱	珠
王里	理
王求	球
王見	現
王英	瑛
王虎	琥
[ホ不木]し	札
[ホ不木]寸	村
[ホ不木]才	材
[ホ不木]丈	杖
[ホ不木][土士]	杜
[ホ不木][ホ木]	林
[ホ不木]反	板
[ホ不木]支	枝
[ホ不木]不	杯
[ホ不木]斤	折
[ホ不木]午	杵
[ホ不木]比	枇
[ホ不木]古	枯
[ホ不木]丙	柄
[ホ不木]卯	柳
[ホ不木]甘	柑
[ホ不木]交	校
[ホ不木]毎	梅
[ホ不木]各	格
[ホ不木]兆	桃
[ホ不木]全	栓
[ホ不木]会	桧
[ホ不木]同	桐
[ホ不木]更	梗
[ホ不木]弟	梯
[ホ不木]尾	梶
[ホ不木]奉	棒
[ホ不木]朋	棚
[ホ不木]奇	椅
[ホ不木]皆	楷
[ホ不木]盾	楯
[ホ不木]神	榊
[ホ不木]秦	榛
[ホ不木]倉	槍
[ホ不木]追	槌
[ホ不木]黄	横
[ホ不木]票	標
[ホ不木]曹	槽
[ホ不木]規	槻
[ホ不木]尊	樽
[ホ不木]登	橙
[ホ不木]節	櫛
ネし	礼
ネ[土士]	社
ネ斤	祈
ネ止	祉
ネ申	神
ネ兄	祝
ネ右	祐
ネ羊	祥
ネ寿	祷
ネ単	禅
ネ貞	禎
ネ見	視
立風	颯
石少	砂
石皮	破
石包	砲
石氏	砥
石占	砧
石更	硬
火田	畑
田半	畔
田各	略
目民	眠
目兆	眺
目垂	睡
目童	瞳
立青	靖
矢[ロ口]	知
矢巨	矩
矢豆	短
矢喬	矯
虫[エ工]	虹
虫文	蚊
羊羽	翔
君羊	群
金十	針
金丁	釘
金川	釧
金矢	鉄
金広	鉱
金令	鈴
金[良昆]	銀
金同	同
金充	銃
金名	銘
金岡	鋼
金昔	錯
金定	錠
金東	錬
金固	錮
金居	鋸
金段	鍛
金秋	鍬
金真	鎮
金兼	鎌
金童	鐘
青争	静
里予	野
魚占	鮎
魚羊	鮮
魚里	鯉
魚京	鯨
魚周	鯛
魚弱	鰯
馬尺	駅
馬区	駆
馬太	駄
馬句	駒
馬奇	騎
鬼斗	魁
鬼未	魅
食反	飯
食官	館
九鳥	鳩
[ロ口]鳥	鳴
甲鳥	鴨

#地名漢字#	#地名漢字#
女合	姶
虫亡	虻
虫我	蛾
虫圭	蛙
魚秋	鰍
魚堅	鰹
[ホ不木]百	栢
シ間	澗
虫義	蟻
イ具	倶
圭卜	卦
田圭	畦
金古	鈷
[土士]后	垢
米康	糠
月広	肱
石広	砿
シ豪	濠
シ鹿	漉
[土士]申	坤
石奇	碕
魚圭	鮭
魚青	鯖
魚交	鮫
田鳥	鴫
金正	鉦
革刀	靭
[ホ不木]昌	椙
虫単	蝉
米曹	糟
金倉	鎗
馬単	騨
魚雪	鱈
虫知	蜘
金兆	銚
金追	鎚
[ホ不木]母	栂
女需	嬬
石定	碇
シ殿	澱
金登	鐙
シ静	瀞
米白	粕
石谷	硲
虫合	蛤
虫至	蛭
[土士]阜	埠
魚付	鮒
[ロ口]犬	吠
魚有	鮪
イ尽	侭
イ多	侈
[ロ口]入	叺
[ロ口]帝	啼
[土士]入	圦
[土士]下	圷
[土士]不	坏
[土士]行	垳
[土士]花	埖
[土士]卒	埣
[土士]時	塒
[土士]間	墹
女男	娚
山し	乢
山由	岫
山氏	岻
山平	岼
山弁	峅
山義	嶬
キ爪	抓
キ奇	掎
キ卓	掉
キ弱	搦
キ島	搗
[ホ不木]入	杁
[ホ不木][エ工]	杠
[ホ不木]山	杣
[ホ不木]万	杤
[ホ不木]予	杼
[ホ不木]分	枌
[ホ不木]方	枋
[ホ不木]戸	枦
[ホ不木]升	枡
[ホ不木]只	枳
[ホ不木][爪瓜]	柧
[ホ不木]羽	栩
[ホ不木]存	栫
[ホ不木]角	桷
[ホ不木]兵	梹
[ホ不木]君	桾
[ホ不木]岡	棡
[ホ不木]空	椌
[ホ不木]叔	椒
[ホ不木]知	椥
[ホ不木]念	棯
[ホ不木]門	椚
[ホ不木]典	椣
[ホ不木]到	椡
[ホ不木]鬼	槐
[ホ不木]高	槁
[ホ不木]留	榴
[ホ不木]密	樒
[ホ不木]喜	橲
[ホ不木]童	橦
[ホ不木]楽	檪
シ弘	泓
シ四	泗
シ平	泙
シ目	泪
シ松	淞
シ胃	渭
シ秋	湫
火巨	炬
火因	烟
王皮	玻
王吾	珸
王冒	瑁
田夫	畉
田余	畭
石[エ工]	矼
石花	硴
石責	磧
石義	礒
米合	粭
米花	糀
米家	糘
米需	糯
糸し	糺
耳止	耻
舟可	舸
舟由	舳
虫令	蛉
虫老	蛯
虫見	蜆
虫郎	螂
虫番	蟠
言可	訶
足止	趾
足走	跿
身弓	躬
身本	躰
車雪	轌
車鹿	轆
金[カ力]	釛
金斤	釿
金反	鈑
金宿	鏥
金番	鐇
金戸	鈩
B寿	陦
革[カ力]	勒
革皮	鞁
革丙	鞆
革秋	鞦
馬史	駛
馬交	駮
魚石	鮖
魚危	鮠
魚旨	鮨
魚利	鯏
魚念	鯰

#共通#	#共通#
束区	東区
区束	区東
市束	市東
町束	町東
村束	村東
条束	条東
君B	郡

#都道府県#	#都道府県#
官城	宮城
栃[ホ不]	栃木
束京	東京
[チ干]葉	千葉
神奈ツ	神奈川
石ツ	石川
[シミ三][垂重]	三重
犬阪	大阪
島取	鳥取
鳥根	島根
山ロ	山口
香ツ	香川
態本	熊本
官崎	宮崎

#北海道#	#北海道#
[ホ不木]し幌	札幌
旭ツ	旭川
[タ夕]張	夕張
[シミ]笠	三笠
[チ干]歳	千歳
滝ツ	滝川
砂ツ	砂川
深ツ	深川
[ホ不]古内	木古内
[こ二]セコ	ニセコ
ハ雲	八雲
上ツ	上川
束神楽	東神楽
[束東][ツ川]	東川
下ツ	下川
佐呂問	佐呂間
ツ湯	川湯
[こニ]海郡	二海郡

#青森県#	#青森県#
ハ戸	八戸
五所ツ原	五所川原
[シミ]沢	三沢
平ツ	平川
大問	大間
風問	風間
[シミ]戸	三戸
束北	東北
束通	東通

#岩手県#	#岩手県#
欠慈	久慈
[こニ]戸	二戸
ハ幡	八幡

#宮城県#	#宮城県#
束松島	東松島
七ケ宿	七ヶ宿
七ケ浜	七ヶ浜
女ツ	女川
[シミ]陸	三陸

#秋田県#	#秋田県#
[シミ]種	三種
ハ峰	八峰
ハ郎潟	八郎潟
井ツ	井川
束成瀬	東成瀬

#山形県#	#山形県#
束根	東根
材山	村山
西ツ	西川
鮭ツ	鮭川
ツ西	川西
[シミ三][ツ川]	三川

#福島県#	#福島県#
[こニ]本松	二本松
須賀ツ	須賀川
ツ俣	川俣
湯ツ	湯川
[シミ]島	三島
鮫ツ	鮫川
玉ツ	玉川
浅ツ	浅川
[シミ]春	三春
ツ内	川内

#茨城県#	#茨城県#
龍ヶ崎	龍ケ崎
笠問	笠間
牛欠	牛久
坂束	坂東
桜ツ	桜川
束海	東海
[ハ八][チ干千]代	八千代

#栃木県#	#栃木県#
宇都官	宇都宮
那須鳥山	那須烏山
茂[ホ不]	茂木
野[ホ不]	野木
那珂ツ	那珂川
鬼怒ツ	鬼怒川
ツ治	川治

#群馬県#	#群馬県#
渋ツ	渋川
榛束	榛東
束吾妻	東吾妻
中え条	中之条
ツ場	川場

#埼玉県#	#埼玉県#
ツ越	川越
[ツ川][ロ口]	川口
束松山	東松山
入問	入間
志[ホ不]	志木
桶ツ	桶川
欠喜	久喜
ハ潮	八潮
[シミ]郷	三郷
鶴ケ島	鶴ヶ島
吉ツ	吉川
[シミ]芳	三芳
小ツ	小川
ツ島	川島
神ツ	神川
束秩父	東秩父
大官	大宮

#千葉県#	#千葉県#
市ツ	市川
鴨ツ	鴨川
束金	東金
鎌ヶ谷	鎌ケ谷
袖ヶ浦	袖ケ浦
ハ街	八街
束庄	東庄
酒[ロ口久欠]井	酒々井

#東京都#	#東京都#
[チ干]代田	千代田
台束	台東
江束	江東
品ツ	品川
荒ツ	荒川
練駆	練馬区
江戸ツ	江戸川
ハ王子	八王子
立ツ	立川
[シミ三][雀腐]	三鷹
束村山	東村山
束大和	東大和
欠留米	久留米
束久留米	東久留米
羽材	羽村
ハ丈	八丈
青ケ島	青ヶ島
秋ツ	秋川
代[ロ口久欠][ホ不木]	代々木
等[ロ口久欠][カ力]	等々力
六本[ホ不]	六本木
四ツ[ホ不]	四ツ木
[シミ]軒茶屋	三軒茶屋
[シミ]ノ輪	三ノ輪
[シミ]田	三田
束中野	東中野
束上野	東上野
束新橋	東新橋
束池袋	東池袋
束五反田	東五反田
束雲	東雲
[チ干]住	千住
[チ干]束	千束
[芳芽]場町	茅場町
日本椅	日本橋
月本橋	日本橋
犬手町	大手町
九の内	丸の内

#神奈川県#	#神奈川県#
ツ崎	川崎
茅ケ崎	茅ヶ崎
[シミ]浦	三浦
厚[ホ不]	厚木
[シミ]崎	三崎
座問	座間
寒ツ	寒川
[ニ二][官宮]	二宮
愛ツ	愛川
清ツ	清川
束神奈川	東神奈川
桜[ホ不]	桜木
溝ロ	溝口

#新潟県#	#新潟県#
小[チ干]谷	小千谷
材上	村上
糸魚ツ	糸魚川
関ツ	関川

#富山県#	#富山県#
滑ツ	滑川

